runtime,rating,votes,gross_earn,director_avg_earn,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
114.0,8.0,758613.0,91.13,46.165,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116.0,7.0,656771.0,202.36,64.22125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142.0,6.6,701621.0,310.68,267.61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129.0,8.0,613461.0,57.14,19.748181818181816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
117.0,8.1,758707.0,32.87,73.78190476190477,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141.0,7.3,847817.0,459.01,369.26666666666665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166.0,7.8,642861.0,127.51,86.519,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
124.0,7.0,604386.0,126.48,73.78190476190477,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
98.0,8.1,670828.0,24.61,16.954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104.0,7.3,610345.0,157.3,126.90444444444445,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120.0,7.7,610469.0,136.03,82.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136.0,6.9,648317.0,262.03,165.75666666666666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
147.0,8.5,658867.0,83.47,54.845454545454544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
96.0,9.0,775906.0,4.36,20.92571428571429,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,7.2,651101.0,117.72,73.60428571428572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
152.0,7.6,763191.0,317.58,132.53307692307692,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
127.0,7.9,623181.0,124.99,66.41875,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134.0,8.1,693139.0,56.67,20.273333333333333,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101.0,8.1,622855.0,70.91,46.812222222222225,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117.0,7.6,558094.0,48.07,72.74199999999999,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,7.8,628671.0,35.06,7.192,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170.0,8.3,644406.0,67.44,56.37777777777777,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0,7.9,666838.0,100.21,74.17999999999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145.0,7.0,571276.0,306.17,117.45545454545454,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119.0,7.4,571538.0,66.49,24.02333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149.0,8.3,659554.0,56.95,31.095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148.0,8.1,617823.0,18.35,19.035,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0,7.6,571947.0,121.46,58.29999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.0,8.5,661564.0,32.0,11.28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
138.0,7.2,589491.0,281.49,114.57000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102.0,7.4,617596.0,400.74,285.915,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,8.6,684476.0,57.6,57.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105.0,7.4,567505.0,79.25,90.02333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124.0,6.9,636496.0,652.27,328.14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125.0,8.6,745767.0,10.06,5.58,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,8.2,576468.0,3.9,68.76142857142857,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.0,7.5,519509.0,143.5,47.04,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138.0,8.2,577516.0,64.62,53.46142857142858,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112.0,6.8,672588.0,206.36,148.06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124.0,8.1,594722.0,260.0,156.35148148148147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127.0,7.4,643003.0,373.59,117.43615384615383,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109.0,7.2,552362.0,138.45,178.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134.0,7.4,546100.0,214.95,126.90444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
